typhoon_id,datetime,lat,lon,pressure,max_wind_kt
199114,1991-08-31 02:00:00,34.4,137.7,992.0,40.0
199117,1991-09-14 05:00:00,32.7,129.7,965.0,70.0
199117,1991-09-14 09:00:00,34.1,130.7,980.0,60.0
199117,1991-09-14 20:00:00,37.5,138.0,996.0,45.0
199119,1991-09-27 16:00:00,32.8,129.7,940.0,95.0
199119,1991-09-28 07:00:00,41.2,139.0,955.0,80.0
199209,1992-08-04 13:00:00,32.7,133.1,990.0,45.0
199209,1992-08-04 19:00:00,33.7,131.1,996.0,40.0
199210,1992-08-08 09:00:00,32.7,130.5,965.0,70.0
199210,1992-08-08 13:00:00,33.9,131.2,975.0,60.0
199211,1992-08-18 20:00:00,32.5,131.9,985.0,45.0
199211,1992-08-19 02:00:00,33.8,131.3,990.0,40.0
199304,1993-07-25 02:00:00,33.7,134.7,990.0,45.0
199304,1993-07-25 04:00:00,34.5,134.5,994.0,40.0
199305,1993-07-27 11:00:00,31.2,131.0,990.0,40.0
199305,1993-07-27 17:00:00,33.8,131.6,990.0,40.0
199306,1993-07-29 23:00:00,32.5,129.7,980.0,55.0
199311,1993-08-28 11:00:00,42.8,144.2,980.0,55.0
199313,1993-09-03 15:00:00,30.9,130.3,930.0,95.0
199313,1993-09-03 23:00:00,33.3,132.3,965.0,65.0
199313,1993-09-04 01:00:00,34.1,132.9,970.0,65.0
199314,1993-09-09 06:00:00,33.5,135.3,992.0,40.0
199407,1994-07-25 13:00:00,32.6,132.8,985.0,50.0
199411,1994-08-02 22:00:00,41.0,140.2,996.0,35.0
199426,1994-09-29 19:00:00,33.5,135.3,950.0,80.0
199514,1995-09-24 00:00:00,31.8,130.2,975.0,65.0
199514,1995-09-24 04:00:00,33.9,131.9,985.0,60.0
199606,1996-07-18 08:00:00,30.4,130.5,950.0,75.0
199606,1996-07-18 13:00:00,31.1,130.5,960.0,75.0
199609,1996-07-31 16:00:00,24.2,123.7,925.0,95.0
199612,1996-08-12 15:00:00,26.3,127.9,960.0,70.0
199612,1996-08-14 10:00:00,32.7,130.5,960.0,75.0
199612,1996-08-14 15:00:00,33.9,131.8,970.0,65.0
199612,1996-08-15 06:00:00,37.9,137.9,985.0,50.0
199612,1996-08-15 09:00:00,38.4,139.5,985.0,50.0
199621,1996-09-28 21:00:00,24.4,125.4,955.0,80.0
199707,1997-06-20 10:00:00,34.3,136.7,975.0,60.0
199707,1997-06-20 11:00:00,34.6,137.0,980.0,55.0
199708,1997-06-28 09:00:00,32.8,129.7,975.0,60.0
199708,1997-06-28 16:00:00,34.3,133.2,980.0,55.0
199709,1997-07-26 17:00:00,33.7,134.7,970.0,70.0
199709,1997-07-26 20:00:00,34.6,134.4,975.0,70.0
199719,1997-09-16 08:00:00,31.2,130.3,960.0,75.0
199719,1997-09-17 00:00:00,34.7,133.7,998.0,35.0
199805,1998-09-16 04:00:00,34.4,138.1,965.0,60.0
199805,1998-09-16 20:00:00,42.9,144.2,975.0,50.0
199807,1998-09-22 13:00:00,33.8,135.1,960.0,75.0
199807,1998-09-22 21:00:00,38.5,139.3,990.0,50.0
199808,1998-09-21 15:00:00,33.3,135.5,994.0,45.0
199810,1998-10-17 16:00:00,31.1,130.0,975.0,50.0
199810,1998-10-17 21:00:00,32.9,132.6,980.0,50.0
199810,1998-10-17 23:00:00,33.9,133.8,980.0,50.0
199916,1999-09-14 17:00:00,31.5,131.2,985.0,45.0
199916,1999-09-15 02:00:00,33.1,132.4,988.0,35.0
199916,1999-09-15 10:00:00,34.6,134.8,994.0,45.0
199918,1999-09-24 04:00:00,32.2,129.9,940.0,85.0
199918,1999-09-24 06:00:00,33.0,130.5,950.0,80.0
199918,1999-09-24 08:00:00,33.8,131.2,950.0,80.0
199918,1999-09-25 02:00:00,42.4,139.9,975.0,60.0
199918,1999-09-25 09:00:00,44.7,141.7,980.0,50.0
200014,2000-09-12 19:00:00,26.5,128.0,945.0,75.0
200111,2001-08-21 19:00:00,33.5,135.5,970.0,55.0
200111,2001-08-22 04:00:00,34.3,136.7,975.0,50.0
200111,2001-08-22 12:00:00,34.8,138.8,982.0,45.0
200111,2001-08-22 14:00:00,35.3,139.5,982.0,45.0
200111,2001-08-22 15:00:00,35.5,139.8,982.0,45.0
200115,2001-09-11 09:00:00,35.2,139.5,970.0,55.0
200116,2001-09-07 07:00:00,26.1,127.6,985.0,50.0
200116,2001-09-08 03:00:00,26.3,127.8,975.0,60.0
200116,2001-09-13 03:00:00,26.4,126.8,975.0,60.0
200204,2002-06-10 02:00:00,24.6,125.3,975.0,60.0
200205,2002-07-03 21:00:00,24.7,125.3,945.0,85.0
200206,2002-07-11 00:00:00,34.9,139.7,970.0,55.0
200206,2002-07-11 21:00:00,43.0,144.5,980.0,45.0
200207,2002-07-14 21:00:00,26.2,127.6,960.0,70.0
200207,2002-07-16 09:00:00,34.6,138.7,975.0,60.0
200207,2002-07-16 10:00:00,34.8,139.3,975.0,60.0
200207,2002-07-16 12:00:00,35.6,140.6,975.0,60.0
200209,2002-07-25 20:00:00,30.3,130.9,970.0,55.0
200213,2002-08-19 16:00:00,32.9,139.9,965.0,65.0
200215,2002-08-29 21:00:00,28.4,129.6,950.0,75.0
200216,2002-09-04 06:00:00,25.7,131.3,960.0,75.0
200216,2002-09-05 00:00:00,26.2,127.9,955.0,80.0
200216,2002-09-05 08:00:00,26.4,126.8,955.0,80.0
200221,2002-10-01 20:00:00,35.3,139.6,960.0,70.0
200221,2002-10-02 06:00:00,42.6,141.7,980.0,55.0
200304,2003-05-31 06:00:00,33.2,132.3,985.0,45.0
200306,2003-06-18 05:00:00,24.2,123.8,968.0,65.0
200306,2003-06-19 13:00:00,34.2,129.2,975.0,60.0
200310,2003-08-07 09:00:00,26.5,128.2,950.0,80.0
200310,2003-08-07 19:00:00,28.1,129.2,945.0,85.0
200310,2003-08-08 21:00:00,33.2,134.0,950.0,75.0
200310,2003-08-09 03:00:00,34.2,134.8,965.0,50.0
200310,2003-08-09 06:00:00,34.7,135.4,970.0,50.0
200310,2003-08-10 01:00:00,41.9,142.8,985.0,40.0
200314,2003-09-11 04:00:00,24.8,125.4,910.0,105.0
200315,2003-09-19 17:00:00,26.5,128.2,985.0,50.0
200315,2003-09-20 07:00:00,28.1,129.2,975.0,60.0
200404,2004-06-11 16:00:00,33.3,134.1,994.0,35.0
200406,2004-06-21 09:00:00,33.1,133.9,965.0,70.0
200406,2004-06-21 13:00:00,34.6,134.9,970.0,60.0
200410,2004-07-31 16:00:00,33.1,133.2,980.0,65.0
200410,2004-07-31 21:00:00,34.0,132.3,992.0,45.0
200411,2004-08-04 22:00:00,33.6,134.7,996.0,40.0
200411,2004-08-05 01:00:00,34.8,134.4,998.0,35.0
200415,2004-08-20 06:00:00,40.9,140.2,980.0,60.0
200415,2004-08-20 08:00:00,41.1,141.0,980.0,60.0
200416,2004-08-30 09:00:00,31.5,130.2,950.0,80.0
200416,2004-08-30 17:00:00,33.9,131.4,965.0,70.0
200416,2004-08-31 12:00:00,41.4,140.5,975.0,60.0
200418,2004-09-05 17:00:00,26.4,128.1,925.0,95.0
200418,2004-09-07 09:00:00,32.7,129.6,945.0,75.0
200421,2004-09-29 08:00:00,31.5,130.2,970.0,60.0
200421,2004-09-29 15:00:00,32.9,132.7,980.0,55.0
200421,2004-09-29 20:00:00,34.4,134.6,990.0,50.0
200422,2004-10-09 16:00:00,34.8,138.8,950.0,80.0
200422,2004-10-09 17:00:00,35.2,139.5,965.0,70.0
200422,2004-10-09 18:00:00,35.6,140.0,980.0,60.0
200423,2004-10-20 13:00:00,32.8,132.9,955.0,75.0
200423,2004-10-20 15:00:00,33.4,133.9,955.0,75.0
200423,2004-10-20 17:00:00,34.1,134.8,960.0,70.0
200507,2005-07-26 20:00:00,35.1,140.2,978.0,45.0
200509,2005-08-04 19:00:00,24.3,124.3,955.0,80.0
200511,2005-08-26 02:00:00,35.1,139.5,975.0,65.0
200511,2005-08-26 04:00:00,35.5,140.0,980.0,65.0
200514,2005-09-06 13:00:00,32.5,130.2,960.0,70.0
200514,2005-09-06 14:00:00,32.7,130.1,960.0,65.0
200514,2005-09-08 04:00:00,44.5,141.5,985.0,50.0
200607,2006-08-09 07:00:00,34.2,139.1,992.0,50.0
200610,2006-08-18 01:00:00,31.8,131.5,980.0,45.0
200613,2006-09-16 05:00:00,24.3,123.9,919.0,110.0
200613,2006-09-17 18:00:00,32.9,129.8,950.0,80.0
200704,2007-07-14 13:00:00,31.2,130.5,945.0,75.0
200704,2007-07-14 14:00:00,31.4,130.8,945.0,75.0
200704,2007-07-14 21:00:00,32.7,132.8,960.0,65.0
200704,2007-07-15 05:00:00,33.5,135.7,965.0,60.0
200705,2007-08-02 17:00:00,32.3,131.7,960.0,80.0
200705,2007-08-03 01:00:00,33.9,131.3,985.0,55.0
200705,2007-08-04 13:00:00,41.1,140.4,998.0,35.0
200705,2007-08-04 14:00:00,41.2,140.8,1000.0,35.0
200709,2007-09-06 23:00:00,34.4,138.8,970.0,65.0
200709,2007-09-08 00:00:00,41.6,140.7,992.0,45.0
200709,2007-09-08 03:00:00,42.4,140.7,994.0,40.0
200712,2007-09-18 08:00:00,24.2,123.9,925.0,100.0
200918,2009-10-08 04:00:00,34.2,136.9,955.0,75.0
200918,2009-10-08 05:00:00,34.6,136.9,955.0,75.0
