station,datetime,temperature,precipitation,wind_speed,pressure
大分,2025-07-27 01:00:00,26.7,1.0,3.1,1006.8
大分,2025-07-27 02:00:00,26.7,0.0,4.1,1006.3
大分,2025-07-27 03:00:00,25.9,2.0,2.9,1006.4
大分,2025-07-27 04:00:00,25.9,1.0,2.1,1005.8
大分,2025-07-27 05:00:00,26.8,0.0,3.8,1006.1
大分,2025-07-27 06:00:00,26.6,0.5,2.5,1006.2
大分,2025-07-27 07:00:00,27.8,0.0,3.7,1006.3
大分,2025-07-27 08:00:00,28.4,0.0,4.8,1006.3
大分,2025-07-27 09:00:00,29.6,0.0,6.3,1006.2
大分,2025-07-27 10:00:00,30.3,0.0,6.7,1006.2
大分,2025-07-27 11:00:00,31.1,0.0,6.3,1006.0
大分,2025-07-27 12:00:00,31.3,0.0,8.4,1005.7
大分,2025-07-27 13:00:00,31.4,0.0,6.0,1005.5
大分,2025-07-27 14:00:00,32.8,0.0,5.9,1005.2
大分,2025-07-27 15:00:00,32.8,0.0,5.0,1005.0
大分,2025-07-27 16:00:00,32.2,0.0,5.7,1005.2
大分,2025-07-27 17:00:00,32.0,0.0,3.5,1005.1
大分,2025-07-27 18:00:00,31.0,0.0,5.3,1005.2
大分,2025-07-27 19:00:00,30.0,0.0,4.2,1005.5
大分,2025-07-27 20:00:00,28.8,0.0,2.6,1005.8
大分,2025-07-27 21:00:00,27.9,0.0,2.3,1005.8
大分,2025-07-27 22:00:00,27.7,0.0,3.1,1005.6
大分,2025-07-27 23:00:00,27.4,0.0,1.9,1005.5
大分,2025-07-28 00:00:00,27.4,0.0,2.2,1005.2
大分,2025-07-28 01:00:00,26.7,0.0,2.7,1005.0
大分,2025-07-28 02:00:00,26.3,0.0,1.6,1004.7
大分,2025-07-28 03:00:00,25.9,0.0,0.5,1004.8
大分,2025-07-28 04:00:00,25.8,0.0,1.2,1004.7
大分,2025-07-28 05:00:00,25.7,0.0,1.5,1004.7
大分,2025-07-28 06:00:00,25.5,0.0,1.8,1004.6
大分,2025-07-28 07:00:00,26.7,0.0,0.7,1004.6
大分,2025-07-28 08:00:00,27.9,0.0,0.8,1004.6
大分,2025-07-28 09:00:00,29.0,0.0,1.7,1004.4
大分,2025-07-28 10:00:00,29.7,0.0,5.3,1004.3
大分,2025-07-28 11:00:00,30.8,0.0,4.9,1003.9
大分,2025-07-28 12:00:00,31.7,0.0,4.5,1003.5
大分,2025-07-28 13:00:00,32.8,0.0,4.3,1002.7
大分,2025-07-28 14:00:00,34.0,0.0,4.4,1002.3
大分,2025-07-28 15:00:00,34.3,0.0,3.5,1001.8
大分,2025-07-28 16:00:00,33.8,0.0,3.4,1001.3
大分,2025-07-28 17:00:00,33.4,0.0,3.2,1001.1
大分,2025-07-28 18:00:00,32.2,0.0,5.0,1001.1
大分,2025-07-28 19:00:00,30.6,0.0,4.4,1001.2
大分,2025-07-28 20:00:00,29.2,0.0,4.0,1001.7
大分,2025-07-28 21:00:00,28.2,0.0,3.1,1002.0
大分,2025-07-28 22:00:00,27.8,0.0,2.6,1002.1
大分,2025-07-28 23:00:00,27.0,0.0,2.8,1002.1
大分,2025-07-29 00:00:00,26.4,0.0,2.2,1001.9
大分,2025-07-29 01:00:00,26.2,0.0,1.9,1001.5
大分,2025-07-29 02:00:00,25.5,0.0,1.7,1001.4
大分,2025-07-29 03:00:00,25.1,0.0,1.7,1001.4
大分,2025-07-29 04:00:00,24.6,0.0,1.7,1001.4
大分,2025-07-29 05:00:00,24.4,0.0,2.3,1001.7
大分,2025-07-29 06:00:00,24.3,0.0,2.5,1002.0
大分,2025-07-29 07:00:00,25.5,0.0,2.6,1002.1
大分,2025-07-29 08:00:00,28.4,0.0,3.0,1002.1
大分,2025-07-29 09:00:00,30.2,0.0,2.9,1001.9
大分,2025-07-29 10:00:00,31.1,0.0,3.2,1001.5
大分,2025-07-29 11:00:00,30.6,0.0,5.4,1001.4
大分,2025-07-29 12:00:00,32.2,0.0,3.7,1000.8
大分,2025-07-29 13:00:00,32.9,0.0,4.8,1000.1
大分,2025-07-29 14:00:00,31.2,0.0,2.9,999.8
大分,2025-07-29 15:00:00,30.9,0.0,4.4,999.5
大分,2025-07-29 16:00:00,31.4,0.0,3.8,999.6
大分,2025-07-29 17:00:00,34.1,0.0,3.7,999.3
大分,2025-07-29 18:00:00,33.0,0.0,3.7,999.2
大分,2025-07-29 19:00:00,31.7,0.0,2.8,999.4
大分,2025-07-29 20:00:00,30.1,0.0,1.9,999.9
大分,2025-07-29 21:00:00,29.0,0.0,2.3,1000.7
大分,2025-07-29 22:00:00,27.1,0.0,2.1,1001.3
大分,2025-07-29 23:00:00,26.5,0.0,2.7,1001.5
