station,datetime,temperature,precipitation,wind_speed,wind_direction,pressure,weather_code
宮崎,2025-07-27 01:00:00,26.8,0.5,5.5,東,1005.3,10
宮崎,2025-07-27 02:00:00,26.3,0.5,5.5,東,1005.1,10
宮崎,2025-07-27 03:00:00,26.7,0.0,5.1,東,1004.8,10
宮崎,2025-07-27 04:00:00,26.4,0.0,4.8,東,1004.6,10
宮崎,2025-07-27 05:00:00,26.8,0.0,5.1,東,1004.5,2
宮崎,2025-07-27 06:00:00,27.0,0.0,4.3,東,1004.8,4
宮崎,2025-07-27 07:00:00,27.7,0.0,6.0,東,1004.7,2
宮崎,2025-07-27 08:00:00,28.8,0.0,6.4,東,1004.7,4
宮崎,2025-07-27 09:00:00,29.4,0.0,7.4,東,1004.8,4
宮崎,2025-07-27 10:00:00,28.1,5.5,6.8,東,1004.7,10
宮崎,2025-07-27 11:00:00,29.0,0.0,8.5,東,1004.9,10
宮崎,2025-07-27 12:00:00,30.3,0.0,7.8,東,1005.1,2
宮崎,2025-07-27 13:00:00,30.2,0.0,8.2,東,1004.8,2
宮崎,2025-07-27 14:00:00,28.9,0.5,8.3,東,1004.6,10
宮崎,2025-07-27 15:00:00,30.0,0.0,8.6,東,1004.2,4
宮崎,2025-07-27 16:00:00,28.6,3.0,7.7,東南東,1004.3,4
宮崎,2025-07-27 17:00:00,28.9,0.0,6.7,東,1004.0,2
宮崎,2025-07-27 18:00:00,28.6,0.0,7.0,東,1004.3,10
宮崎,2025-07-27 19:00:00,27.8,0.0,6.4,東,1004.4,10
宮崎,2025-07-27 20:00:00,27.7,0.0,4.6,東,1004.9,2
宮崎,2025-07-27 21:00:00,27.6,0.0,5.1,東,1005.1,2
宮崎,2025-07-27 22:00:00,27.5,0.0,5.2,東,1005.2,2
宮崎,2025-07-27 23:00:00,27.4,0.0,4.6,東,1005.1,2
宮崎,2025-07-28 00:00:00,27.3,0.0,2.9,東,1004.7,2
宮崎,2025-07-28 01:00:00,27.3,0.0,3.9,東北東,1004.4,2
宮崎,2025-07-28 02:00:00,27.1,0.0,3.1,東北東,1004.1,2
宮崎,2025-07-28 03:00:00,27.0,0.0,3.3,東北東,1003.9,2
宮崎,2025-07-28 04:00:00,26.1,0.0,2.6,東北東,1003.5,2
宮崎,2025-07-28 05:00:00,26.6,0.0,3.0,東北東,1003.4,2
宮崎,2025-07-28 06:00:00,26.7,0.0,3.5,東,1003.3,2
宮崎,2025-07-28 07:00:00,27.3,0.0,4.2,東,1003.5,2
宮崎,2025-07-28 08:00:00,29.0,0.0,5.3,東北東,1003.6,2
宮崎,2025-07-28 09:00:00,29.3,0.0,7.3,東,1003.3,2
宮崎,2025-07-28 10:00:00,30.0,0.0,6.4,東北東,1003.2,2
宮崎,2025-07-28 11:00:00,30.1,0.0,7.2,東,1003.1,2
宮崎,2025-07-28 12:00:00,30.5,0.0,6.9,東北東,1002.8,2
宮崎,2025-07-28 13:00:00,30.4,0.0,6.7,東,1002.8,2
宮崎,2025-07-28 14:00:00,29.6,0.0,6.8,東北東,1002.6,2
宮崎,2025-07-28 15:00:00,30.2,0.0,7.0,東,1002.1,2
宮崎,2025-07-28 16:00:00,30.1,0.0,5.7,東北東,1001.9,2
宮崎,2025-07-28 17:00:00,29.6,0.0,5.2,東北東,1001.4,2
宮崎,2025-07-28 18:00:00,28.8,0.0,4.8,東北東,1001.3,2
宮崎,2025-07-28 19:00:00,28.1,0.0,5.2,東北東,1001.4,2
宮崎,2025-07-28 20:00:00,27.7,0.0,3.9,北東,1001.6,2
宮崎,2025-07-28 21:00:00,27.6,0.0,3.5,東北東,1001.8,2
宮崎,2025-07-28 22:00:00,27.3,0.0,3.4,東北東,1001.8,2
宮崎,2025-07-28 23:00:00,27.2,0.0,2.7,東北東,1001.8,2
宮崎,2025-07-29 00:00:00,27.3,0.0,2.4,東北東,1001.5,2
宮崎,2025-07-29 01:00:00,26.8,0.0,3.1,北東,1001.1,10
宮崎,2025-07-29 02:00:00,26.2,0.5,2.1,北東,1000.7,2
宮崎,2025-07-29 03:00:00,26.2,0.0,2.6,北東,1000.4,10
宮崎,2025-07-29 04:00:00,26.1,0.0,2.9,北東,1000.3,2
宮崎,2025-07-29 05:00:00,26.6,0.0,3.9,北東,1000.7,2
宮崎,2025-07-29 06:00:00,26.8,2.0,3.5,東北東,1000.8,2
宮崎,2025-07-29 07:00:00,27.4,0.0,4.5,北東,1001.1,10
宮崎,2025-07-29 08:00:00,28.7,0.0,5.7,東北東,1001.2,2
宮崎,2025-07-29 09:00:00,29.2,0.0,5.5,東,1001.3,4
宮崎,2025-07-29 10:00:00,29.7,0.0,6.1,東北東,1001.5,4
宮崎,2025-07-29 11:00:00,30.0,0.0,5.8,東北東,1001.3,2
宮崎,2025-07-29 12:00:00,29.8,0.0,5.4,東,1001.4,4
宮崎,2025-07-29 13:00:00,30.6,0.0,4.6,東,1001.0,2
宮崎,2025-07-29 14:00:00,30.6,0.0,4.3,東北東,1000.7,2
宮崎,2025-07-29 15:00:00,30.1,0.0,3.7,東,1000.6,2
宮崎,2025-07-29 16:00:00,30.0,0.0,3.8,東,1000.5,2
宮崎,2025-07-29 17:00:00,29.7,0.0,4.3,東,1000.0,2
宮崎,2025-07-29 18:00:00,28.9,0.0,3.9,東,999.8,2
宮崎,2025-07-29 19:00:00,27.9,0.0,3.3,東南東,1000.0,2
宮崎,2025-07-29 20:00:00,27.7,0.0,2.7,東,1000.4,2
宮崎,2025-07-29 21:00:00,27.5,0.0,2.6,東,1001.0,2
宮崎,2025-07-29 22:00:00,27.5,0.0,3.2,東,1001.4,2
宮崎,2025-07-29 23:00:00,27.2,0.0,2.6,東,1001.6,2
宮崎,2025-07-30 00:00:00,26.9,0.0,1.1,北北東,1001.4,2
宮崎,2025-07-30 01:00:00,26.0,0.0,1.2,北北西,1001.0,2
宮崎,2025-07-30 02:00:00,25.4,0.0,0.8,北,1000.5,2
宮崎,2025-07-30 03:00:00,25.2,0.0,1.3,北,1000.3,2
宮崎,2025-07-30 04:00:00,24.6,0.0,1.2,北北東,1000.1,2
宮崎,2025-07-30 05:00:00,24.3,0.0,1.4,北西,1000.4,2
宮崎,2025-07-30 06:00:00,24.9,0.0,1.1,北,1000.6,2
宮崎,2025-07-30 07:00:00,26.2,0.0,1.3,北北東,1001.1,2
宮崎,2025-07-30 08:00:00,26.8,0.0,3.7,北東,1001.4,2
