station,datetime,temperature,precipitation,wind_speed,wind_direction,pressure,weather_code
熊本,2025-07-27 01:00:00,27.7,0.0,3.9,北北東,1001.1,2
熊本,2025-07-27 02:00:00,28.2,0.0,4.3,北東,1000.7,2
熊本,2025-07-27 03:00:00,28.5,0.0,3.5,東北東,1000.4,2
熊本,2025-07-27 04:00:00,28.5,0.0,2.9,北北東,1000.1,2
熊本,2025-07-27 05:00:00,27.6,0.0,3.6,北北東,1000.3,2
熊本,2025-07-27 06:00:00,28.0,0.0,2.6,北,1000.2,2
熊本,2025-07-27 07:00:00,29.3,0.0,4.0,北東,1000.4,2
熊本,2025-07-27 08:00:00,31.0,0.0,4.0,東北東,1000.3,2
熊本,2025-07-27 09:00:00,32.3,0.0,4.5,東北東,1000.5,2
熊本,2025-07-27 10:00:00,33.0,0.0,4.7,東北東,1000.1,2
熊本,2025-07-27 11:00:00,33.4,0.0,7.2,東,999.9,2
熊本,2025-07-27 12:00:00,34.4,0.0,6.7,東,1000.0,2
熊本,2025-07-27 13:00:00,32.8,0.0,6.3,東,1000.0,2
熊本,2025-07-27 14:00:00,33.4,0.0,7.9,東,1000.0,2
熊本,2025-07-27 15:00:00,32.7,0.0,4.9,東,1000.0,4
熊本,2025-07-27 16:00:00,31.8,0.0,6.0,東北東,1000.1,4
熊本,2025-07-27 17:00:00,31.4,0.0,5.7,東北東,1000.1,4
熊本,2025-07-27 18:00:00,30.8,0.0,5.2,東,999.9,4
熊本,2025-07-27 19:00:00,30.5,0.0,5.6,東,1000.3,4
熊本,2025-07-27 20:00:00,29.9,0.0,5.4,東,1000.7,2
熊本,2025-07-27 21:00:00,29.5,0.0,5.4,東,1000.8,2
熊本,2025-07-27 22:00:00,29.3,0.0,3.3,東北東,1000.7,2
熊本,2025-07-27 23:00:00,29.1,0.0,6.1,東,1000.5,2
熊本,2025-07-28 00:00:00,29.0,0.0,4.7,東,1000.4,2
熊本,2025-07-28 01:00:00,28.4,0.0,3.9,東,1000.1,2
熊本,2025-07-28 02:00:00,27.8,0.0,2.4,北北東,1000.2,2
熊本,2025-07-28 03:00:00,27.9,0.0,1.6,北北東,1000.0,2
熊本,2025-07-28 04:00:00,26.7,0.0,1.2,北,999.9,2
熊本,2025-07-28 05:00:00,26.7,0.0,1.8,北北東,1000.0,2
