station,datetime,temperature,precipitation,wind_speed,pressure
福岡,2025-07-27 01:00:00,30.0,0.0,3.0,1004.4
福岡,2025-07-27 02:00:00,29.4,0.0,2.8,1004.0
福岡,2025-07-27 03:00:00,29.1,0.0,1.4,1003.6
福岡,2025-07-27 04:00:00,28.7,0.0,2.2,1003.7
福岡,2025-07-27 05:00:00,28.6,0.0,2.0,1003.7
福岡,2025-07-27 06:00:00,28.3,0.0,2.6,1004.0
福岡,2025-07-27 07:00:00,29.1,0.0,2.2,1004.1
福岡,2025-07-27 08:00:00,30.7,0.0,2.8,1004.2
福岡,2025-07-27 09:00:00,32.1,0.0,3.0,1003.8
福岡,2025-07-27 10:00:00,33.2,0.0,3.2,1003.3
福岡,2025-07-27 11:00:00,33.9,0.0,3.6,1003.2
福岡,2025-07-27 12:00:00,35.2,0.0,3.0,1002.8
福岡,2025-07-27 13:00:00,35.0,0.0,4.0,1002.6
福岡,2025-07-27 14:00:00,35.8,0.0,5.5,1002.5
福岡,2025-07-27 15:00:00,34.9,0.0,4.8,1002.6
福岡,2025-07-27 16:00:00,34.9,0.0,5.8,1002.5
福岡,2025-07-27 17:00:00,34.9,0.0,4.0,1002.4
福岡,2025-07-27 18:00:00,33.9,0.0,4.5,1002.6
福岡,2025-07-27 19:00:00,33.2,0.0,4.7,1002.9
福岡,2025-07-27 20:00:00,32.0,0.0,4.1,1003.3
福岡,2025-07-27 21:00:00,31.4,0.0,3.6,1003.7
福岡,2025-07-27 22:00:00,30.6,0.0,3.9,1003.7
福岡,2025-07-27 23:00:00,29.9,0.0,1.9,1003.8
福岡,2025-07-28 00:00:00,29.5,0.0,1.9,1003.7
福岡,2025-07-28 01:00:00,29.0,0.0,1.4,1003.6
福岡,2025-07-28 02:00:00,28.3,0.0,0.6,1003.7
福岡,2025-07-28 03:00:00,28.2,0.0,0.9,1003.6
福岡,2025-07-28 04:00:00,27.9,0.0,1.5,1003.6
福岡,2025-07-28 05:00:00,27.7,0.0,2.1,1003.4
福岡,2025-07-28 06:00:00,27.0,0.0,0.8,1003.6
福岡,2025-07-28 07:00:00,28.2,0.0,1.1,1003.5
福岡,2025-07-28 08:00:00,29.4,0.0,2.6,1003.5
福岡,2025-07-28 09:00:00,31.4,0.0,2.9,1003.1
福岡,2025-07-28 10:00:00,32.7,0.0,3.5,1002.6
福岡,2025-07-28 11:00:00,33.6,0.0,1.5,1002.1
福岡,2025-07-28 12:00:00,35.2,0.0,3.4,1001.2
福岡,2025-07-28 13:00:00,35.9,0.0,4.3,1000.5
福岡,2025-07-28 14:00:00,36.4,0.0,3.5,999.8
福岡,2025-07-28 15:00:00,36.3,0.0,1.8,999.3
福岡,2025-07-28 16:00:00,36.2,0.0,2.9,998.8
福岡,2025-07-28 17:00:00,36.3,0.0,3.6,998.7
福岡,2025-07-28 18:00:00,35.0,0.0,4.2,998.6
福岡,2025-07-28 19:00:00,34.0,0.0,2.5,999.0
福岡,2025-07-28 20:00:00,33.3,0.0,3.6,999.4
福岡,2025-07-28 21:00:00,32.2,0.0,3.5,999.8
福岡,2025-07-28 22:00:00,31.5,0.0,2.6,1000.3
福岡,2025-07-28 23:00:00,30.8,0.0,2.3,1000.2
福岡,2025-07-29 00:00:00,29.9,0.0,2.4,1000.2
福岡,2025-07-29 01:00:00,29.5,0.0,2.2,1000.0
福岡,2025-07-29 02:00:00,28.8,0.0,1.5,999.8
福岡,2025-07-29 03:00:00,28.7,0.0,2.8,999.9
福岡,2025-07-29 04:00:00,27.8,0.0,1.6,999.9
福岡,2025-07-29 05:00:00,27.5,0.0,2.4,1000.1
福岡,2025-07-29 06:00:00,26.9,0.0,1.0,1000.4
福岡,2025-07-29 07:00:00,27.9,0.0,2.1,1000.9
福岡,2025-07-29 08:00:00,29.8,0.0,1.9,1000.8
福岡,2025-07-29 09:00:00,31.1,0.0,2.1,1000.5
福岡,2025-07-29 10:00:00,33.0,0.0,2.9,1000.4
福岡,2025-07-29 11:00:00,33.7,0.0,5.1,999.9
福岡,2025-07-29 12:00:00,34.1,0.0,6.1,999.4
福岡,2025-07-29 13:00:00,34.8,0.0,5.6,999.0
福岡,2025-07-29 14:00:00,34.4,0.0,5.8,998.7
福岡,2025-07-29 15:00:00,34.0,0.0,4.0,998.3
福岡,2025-07-29 16:00:00,34.1,0.0,3.5,998.3
福岡,2025-07-29 17:00:00,34.0,0.0,3.3,998.0
福岡,2025-07-29 18:00:00,33.3,0.0,2.6,997.8
福岡,2025-07-29 19:00:00,32.7,0.0,2.0,997.9
福岡,2025-07-29 20:00:00,31.7,0.0,4.3,998.3
福岡,2025-07-29 21:00:00,31.5,0.0,2.1,998.7
福岡,2025-07-29 22:00:00,31.3,0.0,1.2,999.2
福岡,2025-07-29 23:00:00,31.6,0.0,1.8,999.5
