station,datetime,temperature,precipitation,wind_speed,wind_direction,pressure,weather_code
那覇,2025-07-27 01:00:00,27.9,0.0,6.8,南南西,992.6,10
那覇,2025-07-27 02:00:00,27.4,2.5,7.7,南西,992.1,10
那覇,2025-07-27 03:00:00,27.6,4.5,4.6,南西,992.0,15
那覇,2025-07-27 04:00:00,27.6,1.0,6.5,西南西,991.5,15
那覇,2025-07-27 05:00:00,27.4,3.5,6.2,西南西,991.3,15
那覇,2025-07-27 06:00:00,27.6,9.5,7.7,西南西,991.0,10
那覇,2025-07-27 07:00:00,27.5,1.0,5.5,西,991.0,10
那覇,2025-07-27 08:00:00,28.0,0.5,5.4,西北西,990.9,15
那覇,2025-07-27 09:00:00,28.2,0.0,5.9,西北西,991.0,15
那覇,2025-07-27 10:00:00,27.5,2.5,7.1,北西,991.4,15
那覇,2025-07-27 11:00:00,27.5,13.5,7.7,北西,991.6,15
那覇,2025-07-27 12:00:00,27.8,2.5,6.5,北西,991.7,10
那覇,2025-07-27 13:00:00,27.6,0.5,7.1,北西,991.7,15
那覇,2025-07-27 14:00:00,27.7,0.0,7.4,北西,990.9,10
那覇,2025-07-27 15:00:00,28.5,0.0,5.8,北北西,991.1,10
那覇,2025-07-27 16:00:00,29.2,0.0,5.7,北北西,991.1,4
那覇,2025-07-27 17:00:00,29.2,0.0,5.7,北北西,991.2,4
那覇,2025-07-27 18:00:00,28.8,0.0,4.3,北北西,991.1,4
那覇,2025-07-27 19:00:00,28.6,0.0,5.3,北北西,991.2,4
那覇,2025-07-27 20:00:00,28.4,0.0,4.7,北西,991.1,4
那覇,2025-07-27 21:00:00,28.1,0.0,5.2,北北西,991.1,10
那覇,2025-07-27 22:00:00,27.5,0.0,3.1,北西,991.3,4
那覇,2025-07-27 23:00:00,27.7,0.0,4.7,北北西,991.0,4
那覇,2025-07-28 00:00:00,27.7,0.0,3.9,西北西,990.8,4
那覇,2025-07-28 01:00:00,27.4,0.0,5.8,北西,990.2,4
