station,datetime,temperature,precipitation,wind_speed,pressure
長崎,2025-07-27 01:00:00,28.8,0.0,0.9,1000.9
長崎,2025-07-27 02:00:00,28.2,0.0,0.3,1000.7
長崎,2025-07-27 03:00:00,28.2,0.0,0.6,1000.3
長崎,2025-07-27 04:00:00,27.8,0.0,0.7,999.9
長崎,2025-07-27 05:00:00,27.7,0.0,1.5,1000.2
長崎,2025-07-27 06:00:00,27.7,0.0,2.3,1000.3
長崎,2025-07-27 07:00:00,28.5,0.0,2.3,1000.4
長崎,2025-07-27 08:00:00,29.9,0.0,1.4,1000.3
長崎,2025-07-27 09:00:00,31.6,0.0,1.8,1000.4
長崎,2025-07-27 10:00:00,32.7,0.0,3.0,999.9
長崎,2025-07-27 11:00:00,33.9,0.0,1.8,999.8
長崎,2025-07-27 12:00:00,34.9,0.0,2.3,999.6
長崎,2025-07-27 13:00:00,34.4,0.0,1.8,999.9
長崎,2025-07-27 14:00:00,34.9,0.0,2.6,999.9
長崎,2025-07-27 15:00:00,33.9,0.0,2.6,999.7
長崎,2025-07-27 16:00:00,35.5,0.0,1.7,999.5
長崎,2025-07-27 17:00:00,34.2,0.0,1.6,999.3
長崎,2025-07-27 18:00:00,33.2,0.0,1.5,999.3
長崎,2025-07-27 19:00:00,32.3,0.0,0.8,1000.0
長崎,2025-07-27 20:00:00,30.6,0.0,1.7,1000.6
長崎,2025-07-27 21:00:00,29.8,0.0,0.6,1000.8
長崎,2025-07-27 22:00:00,29.1,0.0,0.8,1000.7
長崎,2025-07-27 23:00:00,28.3,0.0,0.8,1000.7
長崎,2025-07-28 00:00:00,28.5,0.0,0.5,1000.8
長崎,2025-07-28 01:00:00,27.6,0.0,1.1,1000.4
長崎,2025-07-28 02:00:00,27.6,0.0,1.8,1000.5
長崎,2025-07-28 03:00:00,27.4,0.0,2.6,1000.3
長崎,2025-07-28 04:00:00,27.5,0.0,1.2,1000.0
長崎,2025-07-28 05:00:00,27.0,0.0,1.0,1000.2
長崎,2025-07-28 06:00:00,27.0,0.0,0.7,1000.4
長崎,2025-07-28 07:00:00,28.0,0.0,1.0,1000.4
長崎,2025-07-28 08:00:00,29.1,0.0,2.8,1000.1
長崎,2025-07-28 09:00:00,30.5,0.0,1.2,999.7
長崎,2025-07-28 10:00:00,31.9,0.0,1.4,999.5
長崎,2025-07-28 11:00:00,32.3,0.0,2.3,999.2
長崎,2025-07-28 12:00:00,34.0,0.0,1.7,998.6
長崎,2025-07-28 13:00:00,34.4,0.0,3.0,998.2
長崎,2025-07-28 14:00:00,33.8,0.0,3.5,997.9
長崎,2025-07-28 15:00:00,34.3,0.0,5.1,997.3
長崎,2025-07-28 16:00:00,33.0,0.0,3.0,997.1
長崎,2025-07-28 17:00:00,33.3,0.0,3.0,996.7
長崎,2025-07-28 18:00:00,32.4,0.0,3.7,996.6
長崎,2025-07-28 19:00:00,31.5,0.0,3.4,996.6
長崎,2025-07-28 20:00:00,30.3,0.0,1.6,997.1
長崎,2025-07-28 21:00:00,29.3,0.0,0.7,997.7
長崎,2025-07-28 22:00:00,29.8,0.0,2.2,997.9
長崎,2025-07-28 23:00:00,29.0,0.0,0.5,997.8
長崎,2025-07-29 00:00:00,28.0,0.0,0.9,997.6
長崎,2025-07-29 01:00:00,27.6,0.0,0.8,997.4
長崎,2025-07-29 02:00:00,28.0,0.0,0.7,997.1
長崎,2025-07-29 03:00:00,27.5,0.0,0.9,997.2
長崎,2025-07-29 04:00:00,26.5,0.0,0.7,997.2
長崎,2025-07-29 05:00:00,26.5,0.0,1.0,997.4
長崎,2025-07-29 06:00:00,26.9,0.0,0.6,997.8
長崎,2025-07-29 07:00:00,27.8,0.0,1.4,997.9
長崎,2025-07-29 08:00:00,28.8,0.0,1.1,998.0
長崎,2025-07-29 09:00:00,30.1,0.0,1.7,997.8
長崎,2025-07-29 10:00:00,31.8,0.0,1.8,997.7
長崎,2025-07-29 11:00:00,33.4,0.0,2.2,997.3
長崎,2025-07-29 12:00:00,33.6,0.0,3.6,997.0
長崎,2025-07-29 13:00:00,33.6,0.0,2.9,996.6
長崎,2025-07-29 14:00:00,35.8,0.0,2.2,996.2
長崎,2025-07-29 15:00:00,33.7,0.0,4.0,996.0
長崎,2025-07-29 16:00:00,33.4,0.0,3.6,995.9
長崎,2025-07-29 17:00:00,33.2,0.0,3.1,995.8
長崎,2025-07-29 18:00:00,32.6,0.0,2.8,995.5
長崎,2025-07-29 19:00:00,31.0,0.0,2.1,995.8
長崎,2025-07-29 20:00:00,29.9,0.0,1.6,996.3
長崎,2025-07-29 21:00:00,29.8,0.0,0.9,996.9
長崎,2025-07-29 22:00:00,29.2,0.0,0.5,997.5
長崎,2025-07-29 23:00:00,28.8,0.0,0.3,997.9
