station,datetime,temperature,precipitation,wind_speed,pressure
佐賀,2025-08-20 00:00:00,28.2,0.0,1.4,1009.3
佐賀,2025-08-20 01:00:00,27.7,0.0,1.1,1008.8
佐賀,2025-08-20 02:00:00,27.5,0.0,1.0,1008.6
佐賀,2025-08-20 03:00:00,26.9,0.0,1.9,1008.5
佐賀,2025-08-20 04:00:00,27.0,0.0,0.2,1008.5
佐賀,2025-08-20 05:00:00,26.8,0.0,0.9,1008.9
佐賀,2025-08-20 06:00:00,26.4,0.0,2.3,1009.2
佐賀,2025-08-20 07:00:00,27.4,0.0,2.0,1009.3
佐賀,2025-08-20 08:00:00,28.6,0.0,1.5,1009.4
佐賀,2025-08-20 09:00:00,29.9,0.0,1.7,1009.3
佐賀,2025-08-20 10:00:00,30.9,0.0,1.9,1009.3
佐賀,2025-08-20 11:00:00,32.7,0.0,1.7,1008.9
佐賀,2025-08-20 12:00:00,32.7,0.0,1.6,1008.2
佐賀,2025-08-20 13:00:00,34.5,0.0,3.2,1007.5
佐賀,2025-08-20 14:00:00,35.0,0.0,3.8,1006.8
佐賀,2025-08-20 15:00:00,32.0,0.0,10.8,1007.0
佐賀,2025-08-20 16:00:00,30.8,0.0,6.9,1006.9
佐賀,2025-08-20 17:00:00,28.9,0.0,2.3,1007.6
佐賀,2025-08-20 18:00:00,30.2,0.0,2.8,1007.4
佐賀,2025-08-20 19:00:00,29.6,0.0,2.7,1007.5
佐賀,2025-08-20 20:00:00,28.9,0.0,3.0,1007.8
佐賀,2025-08-20 21:00:00,28.6,0.0,2.8,1007.9
佐賀,2025-08-20 22:00:00,28.2,0.0,0.7,1008.0
佐賀,2025-08-20 23:00:00,27.7,0.0,1.7,1008.1
佐賀,2025-08-21 00:00:00,26.9,0.0,1.5,1008.1
佐賀,2025-08-21 01:00:00,26.3,0.0,2.9,1007.8
佐賀,2025-08-21 02:00:00,26.2,0.0,3.6,1007.7
佐賀,2025-08-21 03:00:00,25.9,0.0,3.7,1007.6
佐賀,2025-08-21 04:00:00,25.8,0.0,3.4,1007.4
佐賀,2025-08-21 05:00:00,25.6,0.0,3.1,1007.5
佐賀,2025-08-21 06:00:00,25.4,0.0,2.7,1007.4
佐賀,2025-08-21 07:00:00,27.2,0.0,4.6,1007.3
佐賀,2025-08-21 08:00:00,28.4,0.0,4.1,1007.3
佐賀,2025-08-21 09:00:00,30.8,0.0,5.3,1007.2
佐賀,2025-08-21 10:00:00,30.7,0.0,4.3,1007.1
佐賀,2025-08-21 11:00:00,32.7,0.0,2.0,1007.1
佐賀,2025-08-21 12:00:00,33.2,0.0,1.5,1006.1
佐賀,2025-08-21 13:00:00,32.7,0.0,0.9,1005.5
佐賀,2025-08-21 14:00:00,34.0,0.0,2.2,1004.5
佐賀,2025-08-21 15:00:00,28.8,0.5,2.9,1004.7
佐賀,2025-08-21 16:00:00,32.9,0.0,4.4,1004.6
佐賀,2025-08-21 17:00:00,28.5,0.0,4.3,1004.9
佐賀,2025-08-21 18:00:00,29.2,0.0,3.1,1004.6
佐賀,2025-08-21 19:00:00,28.9,0.0,2.9,1004.8
佐賀,2025-08-21 20:00:00,28.1,0.0,1.9,1005.1
佐賀,2025-08-21 21:00:00,27.9,0.0,3.5,1005.4
佐賀,2025-08-21 22:00:00,27.3,0.0,1.5,1005.6
佐賀,2025-08-21 23:00:00,27.2,0.0,2.0,1005.5
佐賀,2025-08-22 00:00:00,26.8,0.0,0.7,1005.7
佐賀,2025-08-22 01:00:00,26.4,0.0,1.8,1005.5
佐賀,2025-08-22 02:00:00,26.1,0.0,1.1,1005.5
佐賀,2025-08-22 03:00:00,25.7,0.0,2.5,1005.4
佐賀,2025-08-22 04:00:00,25.4,0.0,1.0,1005.4
佐賀,2025-08-22 05:00:00,25.5,0.0,2.2,1005.4
佐賀,2025-08-22 06:00:00,25.3,0.0,1.3,1005.5
佐賀,2025-08-22 07:00:00,26.1,0.0,1.9,1006.0
佐賀,2025-08-22 08:00:00,27.8,0.0,0.8,1006.1
佐賀,2025-08-22 09:00:00,29.7,0.0,0.6,1006.3
佐賀,2025-08-22 10:00:00,31.4,0.0,2.7,1006.3
佐賀,2025-08-22 11:00:00,31.9,0.0,2.1,1006.1
佐賀,2025-08-22 12:00:00,32.8,0.0,2.9,1005.7
佐賀,2025-08-22 13:00:00,33.7,0.0,1.9,1005.0
佐賀,2025-08-22 14:00:00,34.4,0.0,5.1,1004.9
佐賀,2025-08-22 15:00:00,34.2,0.0,6.7,1004.8
佐賀,2025-08-22 16:00:00,34.4,0.0,6.0,1004.8
佐賀,2025-08-22 17:00:00,33.5,0.0,6.6,1004.9
佐賀,2025-08-22 18:00:00,32.2,0.0,3.6,1005.3
佐賀,2025-08-22 19:00:00,31.0,0.0,3.3,1006.1
佐賀,2025-08-22 20:00:00,30.4,0.0,2.4,1006.5
佐賀,2025-08-22 21:00:00,29.7,0.0,1.7,1007.3
佐賀,2025-08-22 22:00:00,29.2,0.0,0.7,1007.6
佐賀,2025-08-22 23:00:00,28.3,0.0,1.6,1007.7
