station,datetime,temperature,precipitation,wind_speed,pressure
宮崎,2025-08-20 00:00:00,25.1,0.0,2.2,1011.8
宮崎,2025-08-20 01:00:00,24.9,0.0,2.1,1011.3
宮崎,2025-08-20 02:00:00,24.7,0.0,1.9,1011.0
宮崎,2025-08-20 03:00:00,24.5,0.0,1.6,1010.8
宮崎,2025-08-20 04:00:00,24.4,0.0,1.5,1010.9
宮崎,2025-08-20 05:00:00,24.3,0.0,1.1,1010.9
宮崎,2025-08-20 06:00:00,24.4,0.0,1.4,1011.2
宮崎,2025-08-20 07:00:00,25.5,0.0,2.7,1011.6
宮崎,2025-08-20 08:00:00,26.9,0.0,1.6,1012.0
宮崎,2025-08-20 09:00:00,28.5,0.0,0.5,1012.1
宮崎,2025-08-20 10:00:00,29.9,0.0,2.3,1012.3
宮崎,2025-08-20 11:00:00,30.2,0.0,4.1,1012.3
宮崎,2025-08-20 12:00:00,25.3,4.5,2.6,1012.9
宮崎,2025-08-20 13:00:00,24.8,9.5,2.1,1012.1
宮崎,2025-08-20 14:00:00,25.2,0.5,2.7,1010.9
宮崎,2025-08-20 15:00:00,26.1,0.0,1.8,1010.5
宮崎,2025-08-20 16:00:00,26.6,0.0,1.7,1010.6
宮崎,2025-08-20 17:00:00,27.0,0.0,0.8,1010.3
宮崎,2025-08-20 18:00:00,27.3,0.0,0.5,1010.4
宮崎,2025-08-20 19:00:00,26.5,0.0,1.5,1010.6
宮崎,2025-08-20 20:00:00,26.3,0.0,1.5,1010.8
宮崎,2025-08-20 21:00:00,26.0,0.0,1.6,1011.4
宮崎,2025-08-20 22:00:00,25.7,0.0,0.6,1011.5
宮崎,2025-08-20 23:00:00,25.4,0.0,1.1,1011.1
宮崎,2025-08-21 00:00:00,25.7,0.0,1.5,1011.0
宮崎,2025-08-21 01:00:00,25.7,0.0,1.5,1010.9
宮崎,2025-08-21 02:00:00,25.4,0.0,1.4,1010.8
宮崎,2025-08-21 03:00:00,25.1,0.0,1.2,1010.6
宮崎,2025-08-21 04:00:00,24.9,0.0,1.1,1010.3
宮崎,2025-08-21 05:00:00,24.6,0.0,1.6,1010.4
宮崎,2025-08-21 06:00:00,24.5,0.0,1.5,1010.1
宮崎,2025-08-21 07:00:00,25.7,0.0,0.9,1010.6
宮崎,2025-08-21 08:00:00,27.6,0.0,3.2,1010.6
宮崎,2025-08-21 09:00:00,28.5,0.0,2.2,1011.1
宮崎,2025-08-21 10:00:00,29.6,0.0,2.4,1010.9
宮崎,2025-08-21 11:00:00,29.9,0.0,4.7,1010.3
宮崎,2025-08-21 12:00:00,29.5,0.0,2.3,1010.1
宮崎,2025-08-21 13:00:00,30.5,0.0,4.3,1009.5
宮崎,2025-08-21 14:00:00,28.3,3.0,3.9,1008.6
宮崎,2025-08-21 15:00:00,28.5,0.0,3.5,1008.5
宮崎,2025-08-21 16:00:00,28.3,0.0,2.3,1008.1
宮崎,2025-08-21 17:00:00,27.6,0.0,4.3,1008.2
宮崎,2025-08-21 18:00:00,27.6,0.0,4.0,1007.7
宮崎,2025-08-21 19:00:00,27.7,0.0,4.4,1007.7
宮崎,2025-08-21 20:00:00,27.8,0.0,4.9,1007.7
宮崎,2025-08-21 21:00:00,26.3,0.0,5.3,1007.9
宮崎,2025-08-21 22:00:00,26.1,0.0,5.8,1007.7
宮崎,2025-08-21 23:00:00,25.9,2.5,5.9,1007.1
宮崎,2025-08-22 00:00:00,26.1,2.0,6.1,1006.9
宮崎,2025-08-22 01:00:00,26.0,0.0,5.9,1006.3
宮崎,2025-08-22 02:00:00,25.8,0.0,4.3,1006.1
宮崎,2025-08-22 03:00:00,25.6,0.0,2.1,1005.1
宮崎,2025-08-22 04:00:00,25.3,0.0,2.3,1004.7
宮崎,2025-08-22 05:00:00,25.2,0.0,4.7,1004.8
宮崎,2025-08-22 06:00:00,25.3,0.5,3.9,1005.3
宮崎,2025-08-22 07:00:00,24.9,1.5,4.4,1006.2
宮崎,2025-08-22 08:00:00,26.1,0.0,4.0,1006.7
宮崎,2025-08-22 09:00:00,27.5,0.0,2.8,1007.1
宮崎,2025-08-22 10:00:00,28.9,0.0,3.5,1007.3
宮崎,2025-08-22 11:00:00,29.8,0.0,4.3,1007.2
宮崎,2025-08-22 12:00:00,30.3,0.0,6.1,1007.2
宮崎,2025-08-22 13:00:00,30.8,0.0,4.7,1006.9
宮崎,2025-08-22 14:00:00,31.7,0.0,5.5,1006.7
宮崎,2025-08-22 15:00:00,32.0,0.0,4.7,1006.9
宮崎,2025-08-22 16:00:00,29.9,0.0,2.5,1007.1
宮崎,2025-08-22 17:00:00,28.8,0.0,4.6,1007.4
宮崎,2025-08-22 18:00:00,27.9,0.0,3.6,1007.9
宮崎,2025-08-22 19:00:00,27.6,0.0,1.3,1008.4
宮崎,2025-08-22 20:00:00,27.7,0.0,1.0,1008.9
宮崎,2025-08-22 21:00:00,27.9,0.0,1.0,1009.1
宮崎,2025-08-22 22:00:00,28.3,0.0,2.2,1009.3
宮崎,2025-08-22 23:00:00,27.9,0.0,3.0,1009.5
