station,datetime,temperature,precipitation,wind_speed,wind_direction,pressure,weather_code
長崎,2025-08-14 00:00:00,26.9,0.0,0.6,南西,1012.9,2
長崎,2025-08-14 01:00:00,26.5,0.0,0.4,西南西,1012.4,2
長崎,2025-08-14 02:00:00,26.3,0.0,0.3,南東,1012.3,2
長崎,2025-08-14 03:00:00,26.0,0.0,0.5,西北西,1012.4,2
長崎,2025-08-14 04:00:00,25.9,0.0,0.4,西北西,1012.6,2
長崎,2025-08-14 05:00:00,25.6,0.0,0.9,東南東,1012.6,2
長崎,2025-08-14 06:00:00,25.4,0.0,0.8,東,1013.1,2
長崎,2025-08-14 07:00:00,26.4,0.0,0.5,東北東,1013.3,2
長崎,2025-08-14 08:00:00,27.4,0.0,0.2,静穏,1013.4,2
長崎,2025-08-14 09:00:00,29.7,0.0,1.0,西北西,1013.3,2
長崎,2025-08-14 10:00:00,30.5,0.0,1.5,西,1013.2,2
長崎,2025-08-14 11:00:00,32.2,0.0,3.0,南西,1013.2,2
長崎,2025-08-14 12:00:00,32.3,0.0,3.9,南南西,1012.9,2
長崎,2025-08-14 13:00:00,33.0,0.0,3.3,南西,1012.7,2
長崎,2025-08-14 14:00:00,31.9,0.0,3.8,西北西,1012.7,2
長崎,2025-08-14 15:00:00,32.1,0.0,3.8,西南西,1012.7,2
長崎,2025-08-14 16:00:00,31.7,0.0,3.7,西南西,1012.4,2
長崎,2025-08-14 17:00:00,31.1,0.0,3.1,西南西,1012.1,2
長崎,2025-08-14 18:00:00,30.3,0.0,2.0,南西,1011.9,2
長崎,2025-08-14 19:00:00,29.5,0.0,2.0,南西,1012.0,4
長崎,2025-08-14 20:00:00,29.2,0.0,2.8,南西,1012.3,4
長崎,2025-08-14 21:00:00,28.8,0.0,1.8,南西,1012.6,4
長崎,2025-08-14 22:00:00,28.8,0.0,1.7,南南西,1012.3,4
長崎,2025-08-14 23:00:00,28.4,0.0,1.5,南南西,1012.2,2
長崎,2025-08-15 00:00:00,28.1,0.0,0.9,西,1012.2,2
長崎,2025-08-15 01:00:00,27.9,0.0,0.6,西南西,1011.8,2
長崎,2025-08-15 02:00:00,27.6,0.0,0.8,南南東,1011.6,2
長崎,2025-08-15 03:00:00,27.6,0.0,0.4,南,1011.5,2
長崎,2025-08-15 04:00:00,27.2,0.0,0.7,東北東,1011.6,2
長崎,2025-08-15 05:00:00,27.4,0.0,1.4,北北東,1011.6,2
長崎,2025-08-15 06:00:00,27.3,0.0,2.3,北,1012.3,2
長崎,2025-08-15 07:00:00,27.5,0.0,2.0,北,1012.5,2
長崎,2025-08-15 08:00:00,28.6,0.0,1.7,北北東,1012.3,2
長崎,2025-08-15 09:00:00,30.0,0.0,1.7,北北西,1012.2,2
長崎,2025-08-15 10:00:00,31.4,0.0,1.7,西,1012.1,2
長崎,2025-08-15 11:00:00,31.9,0.0,3.8,南西,1011.9,2
長崎,2025-08-15 12:00:00,32.6,0.0,3.7,南西,1011.5,2
長崎,2025-08-15 13:00:00,32.8,0.0,4.1,南西,1011.1,2
長崎,2025-08-15 14:00:00,33.0,0.0,3.6,南西,1010.7,2
長崎,2025-08-15 15:00:00,33.2,0.0,3.6,南西,1010.0,2
長崎,2025-08-15 16:00:00,32.7,0.0,2.8,西南西,1009.7,2
長崎,2025-08-15 17:00:00,32.6,0.0,2.5,西南西,1009.5,2
長崎,2025-08-15 18:00:00,32.2,0.0,3.5,南,1009.3,2
長崎,2025-08-15 19:00:00,31.5,0.0,1.5,南西,1009.4,2
長崎,2025-08-15 20:00:00,30.9,0.0,2.8,北,1009.7,4
長崎,2025-08-15 21:00:00,30.2,0.0,2.3,北,1010.0,4
長崎,2025-08-15 22:00:00,29.9,0.0,1.7,北北東,1009.8,2
長崎,2025-08-15 23:00:00,29.1,0.0,0.7,東北東,1010.0,2
長崎,2025-08-16 00:00:00,28.5,0.0,0.9,東,1009.8,2
