station,datetime,temperature,precipitation,wind_speed,wind_direction,pressure,weather_code
大分,2025-08-29 00:00:00,26.2,0.0,2.7,南,1013.2,4
大分,2025-08-29 01:00:00,25.8,0.0,2.6,南,1013.1,2
大分,2025-08-29 02:00:00,25.7,0.0,2.9,南,1013.0,2
大分,2025-08-29 03:00:00,25.7,0.0,1.8,南,1012.9,2
大分,2025-08-29 04:00:00,25.4,0.0,2.2,南,1013.0,2
大分,2025-08-29 05:00:00,25.6,0.0,2.0,南,1013.2,4
大分,2025-08-29 06:00:00,25.0,0.0,2.2,南,1013.9,2
大分,2025-08-29 07:00:00,26.4,0.0,1.9,南南西,1014.5,2
大分,2025-08-29 08:00:00,27.5,0.0,2.2,南南東,1014.7,2
大分,2025-08-29 09:00:00,29.2,0.0,1.2,東,1014.5,2
大分,2025-08-29 10:00:00,30.3,0.0,1.8,北北東,1014.5,2
大分,2025-08-29 11:00:00,31.4,0.0,2.8,北,1014.3,2
大分,2025-08-29 12:00:00,32.8,0.0,2.2,北,1013.9,2
大分,2025-08-29 13:00:00,33.3,0.0,3.8,北,1013.5,2
大分,2025-08-29 14:00:00,32.7,0.0,5.4,北,1013.3,2
大分,2025-08-29 15:00:00,32.6,0.0,4.2,北,1013.4,4
大分,2025-08-29 16:00:00,31.6,0.0,3.4,北,1013.1,2
大分,2025-08-29 17:00:00,30.2,0.0,3.0,西北西,1013.6,15
大分,2025-08-29 18:00:00,30.1,0.0,2.2,南西,1013.4,4
大分,2025-08-29 19:00:00,29.6,0.0,2.7,南南西,1014.2,4
大分,2025-08-29 20:00:00,28.7,0.0,2.5,南南東,1014.4,2
大分,2025-08-29 21:00:00,27.7,0.0,2.2,南,1014.6,2
大分,2025-08-29 22:00:00,27.6,0.0,2.6,南南東,1014.7,2
大分,2025-08-29 23:00:00,26.8,0.0,1.6,南,1014.9,2
大分,2025-08-30 00:00:00,26.5,0.0,2.3,南,1014.8,4
大分,2025-08-30 01:00:00,26.4,0.0,2.1,南,1014.6,2
