station,datetime,temperature,precipitation,wind_speed,pressure
鹿児島,2025-09-04 00:00:00,27.6,0.0,4.2,1005.1
鹿児島,2025-09-04 01:00:00,28.0,0.0,1.9,1005.1
鹿児島,2025-09-04 02:00:00,28.2,0.0,2.7,1004.5
鹿児島,2025-09-04 03:00:00,28.0,0.0,1.2,1004.1
鹿児島,2025-09-04 04:00:00,27.6,0.0,2.7,1003.8
鹿児島,2025-09-04 05:00:00,27.4,0.0,4.1,1003.5
鹿児島,2025-09-04 06:00:00,27.6,0.0,5.9,1003.5
鹿児島,2025-09-04 07:00:00,27.9,0.0,4.7,1003.6
鹿児島,2025-09-04 08:00:00,27.8,0.0,4.9,1003.2
鹿児島,2025-09-04 09:00:00,26.9,2.5,6.0,1003.2
鹿児島,2025-09-04 10:00:00,26.7,3.5,4.5,1002.8
鹿児島,2025-09-04 11:00:00,26.4,4.0,5.6,1002.0
鹿児島,2025-09-04 12:00:00,26.8,1.0,7.0,1001.0
鹿児島,2025-09-04 13:00:00,27.1,0.0,4.4,1000.7
鹿児島,2025-09-04 14:00:00,27.3,0.0,3.8,999.9
鹿児島,2025-09-04 15:00:00,28.4,0.0,3.5,999.1
鹿児島,2025-09-04 16:00:00,28.6,0.0,5.0,999.0
鹿児島,2025-09-04 17:00:00,29.4,0.0,3.5,999.0
鹿児島,2025-09-04 18:00:00,28.7,0.0,3.5,998.9
鹿児島,2025-09-04 19:00:00,28.1,0.0,2.9,999.7
鹿児島,2025-09-04 20:00:00,27.8,0.0,5.4,1000.6
鹿児島,2025-09-04 21:00:00,27.9,0.0,4.3,1001.8
鹿児島,2025-09-04 22:00:00,27.9,0.0,3.9,1002.2
鹿児島,2025-09-04 23:00:00,27.9,0.0,2.7,1002.5
鹿児島,2025-09-05 00:00:00,28.4,0.0,2.4,1002.8
鹿児島,2025-09-05 01:00:00,28.4,0.0,2.6,1003.1
鹿児島,2025-09-05 02:00:00,28.3,0.0,2.3,1003.4
鹿児島,2025-09-05 03:00:00,27.6,0.0,0.8,1003.8
鹿児島,2025-09-05 04:00:00,26.8,0.0,0.6,1004.1
鹿児島,2025-09-05 05:00:00,26.1,0.0,3.0,1004.6
鹿児島,2025-09-05 06:00:00,26.0,0.0,3.3,1005.1
鹿児島,2025-09-05 07:00:00,26.9,0.0,1.4,1005.5
鹿児島,2025-09-05 08:00:00,28.8,0.0,1.7,1006.0
鹿児島,2025-09-05 09:00:00,31.2,0.0,2.0,1006.2
鹿児島,2025-09-05 10:00:00,32.8,0.0,3.6,1006.5
鹿児島,2025-09-05 11:00:00,34.0,0.0,3.5,1006.3
鹿児島,2025-09-05 12:00:00,32.4,0.0,0.9,1006.0
鹿児島,2025-09-05 13:00:00,32.4,0.0,3.1,1005.7
鹿児島,2025-09-05 14:00:00,35.2,0.0,3.9,1005.6
鹿児島,2025-09-05 15:00:00,33.9,0.0,5.1,1005.5
鹿児島,2025-09-05 16:00:00,33.8,0.0,4.5,1005.6
鹿児島,2025-09-05 17:00:00,32.2,0.0,4.4,1005.8
鹿児島,2025-09-05 18:00:00,30.9,0.0,3.2,1006.3
鹿児島,2025-09-05 19:00:00,30.2,0.0,3.9,1006.8
鹿児島,2025-09-05 20:00:00,29.5,0.0,3.1,1007.6
鹿児島,2025-09-05 21:00:00,29.1,0.0,1.8,1008.1
鹿児島,2025-09-05 22:00:00,28.8,0.0,2.2,1008.0
鹿児島,2025-09-05 23:00:00,28.5,0.0,2.3,1008.0
鹿児島,2025-09-06 00:00:00,28.2,0.0,1.6,1007.9
鹿児島,2025-09-06 01:00:00,28.0,0.0,0.6,1007.9
鹿児島,2025-09-06 02:00:00,27.5,0.0,1.2,1007.7
鹿児島,2025-09-06 03:00:00,27.3,0.0,1.4,1007.6
鹿児島,2025-09-06 04:00:00,26.9,0.0,0.7,1007.8
鹿児島,2025-09-06 05:00:00,26.7,0.0,1.6,1008.1
鹿児島,2025-09-06 06:00:00,26.8,0.0,1.3,1008.5
鹿児島,2025-09-06 07:00:00,27.6,0.0,1.0,1008.5
鹿児島,2025-09-06 08:00:00,28.3,0.0,1.8,1008.8
鹿児島,2025-09-06 09:00:00,30.3,0.0,1.7,1008.8
鹿児島,2025-09-06 10:00:00,31.5,0.0,1.9,1008.7
鹿児島,2025-09-06 11:00:00,31.8,0.0,3.2,1008.4
鹿児島,2025-09-06 12:00:00,31.5,0.0,3.0,1007.9
鹿児島,2025-09-06 13:00:00,31.9,0.0,4.1,1007.4
鹿児島,2025-09-06 14:00:00,31.7,0.0,4.1,1007.2
鹿児島,2025-09-06 15:00:00,32.0,0.0,1.5,1007.1
鹿児島,2025-09-06 16:00:00,33.3,0.0,5.2,1007.1
鹿児島,2025-09-06 17:00:00,31.7,0.0,5.2,1007.5
鹿児島,2025-09-06 18:00:00,30.7,0.0,4.6,1007.7
鹿児島,2025-09-06 19:00:00,29.8,0.0,4.2,1007.7
鹿児島,2025-09-06 20:00:00,29.3,0.0,3.7,1008.1
鹿児島,2025-09-06 21:00:00,29.0,0.0,1.5,1009.0
鹿児島,2025-09-06 22:00:00,28.7,0.0,1.1,1008.9
鹿児島,2025-09-06 23:00:00,28.6,0.0,1.3,1008.8
